,adj_close,adj_close,adj_close,adj_close,adj_close,adj_close,adj_close,adj_close,adj_close,adj_close,adj_close,close,close,close,close,close,close,close,close,close,close,close
Ticker,ACWI,IVV,EWJ,EWU,MCHI,EWC,EWQ,EWG,EWL,INDA,EWT,ACWI,IVV,EWJ,EWU,MCHI,EWC,EWQ,EWG,EWL,INDA,EWT
Date,,,,,,,,,,,,,,,,,,,,,,
2018-02-26,63.998775482177734,243.9315643310547,52.46439743041992,25.784502029418945,62.411258697509766,23.981348037719727,25.403759002685547,26.799272537231445,29.988615036010742,32.36244201660156,23.895048141479492,74.77999877929688,279.9599914550781,62.459999084472656,35.72999954223633,73.0,28.600000381469727,32.38999938964844,33.279998779296875,35.849998474121094,35.59000015258789,37.91999816894531
2018-02-27,63.02315902709961,240.89944458007812,51.75042724609375,25.394811630249023,60.025962829589844,23.754953384399414,24.972389221191406,26.300010681152344,29.645654678344727,31.65317726135254,23.428741455078125,73.63999938964844,276.4800109863281,61.61000061035156,35.189998626708984,70.20999908447266,28.329999923706055,31.84000015258789,32.65999984741211,35.439998626708984,34.810001373291016,37.18000030517578
2018-02-28,62.295692443847656,238.16354370117188,51.296852111816406,25.01955223083496,59.16244125366211,23.30215835571289,24.80768394470215,26.114797592163086,29.21066665649414,31.20761489868164,23.094768524169922,72.79000091552734,273.3399963378906,61.06999969482422,34.66999816894531,69.19999694824219,27.790000915527344,31.6299991607666,32.43000030517578,34.91999816894531,34.31999969482422,36.650001525878906
2018-03-01,61.51688766479492,234.99195861816406,49.81010055541992,24.74532699584961,58.974365234375,23.151227951049805,24.627294540405273,25.61553382873535,28.692039489746094,31.17123794555664,23.189287185668945,71.87999725341797,269.70001220703125,59.29999923706055,34.290000915527344,68.9800033569336,27.610000610351562,31.399999618530273,31.809999465942383,34.29999923706055,34.279998779296875,36.79999923706055
2018-03-02,61.79931640625,236.29896545410156,50.37288284301758,24.803054809570312,58.974365234375,23.04222297668457,24.6037654876709,25.61553382873535,28.742233276367188,31.334918975830078,23.334218978881836,72.20999908447266,271.20001220703125,59.970001220703125,34.369998931884766,68.9800033569336,27.479999542236328,31.3700008392334,31.809999465942383,34.36000061035156,34.459999084472656,37.029998779296875
2018-03-05,62.28713607788086,238.9127960205078,50.599674224853516,24.969036102294922,59.05130386352539,23.109298706054688,24.650821685791016,25.985952377319336,29.051734924316406,31.37129020690918,23.37833023071289,72.77999877929688,274.20001220703125,60.2400016784668,34.599998474121094,69.06999969482422,27.559999465942383,31.43000030517578,32.27000045776367,34.72999954223633,34.5,37.099998474121094
2018-03-06,62.61234664916992,239.5663604736328,50.91045379638672,25.091716766357422,59.649776458740234,23.26023292541504,24.79984474182129,26.138957977294922,29.101924896240234,30.943906784057617,23.630388259887695,73.16000366210938,274.95001220703125,60.61000061035156,34.77000045776367,69.7699966430664,27.739999771118164,31.6200008392334,32.459999084472656,34.790000915527344,34.029998779296875,37.5
2018-03-07,62.56955337524414,239.47921752929688,50.48207473754883,25.084501266479492,59.82931137084961,23.16799545288086,24.917491912841797,26.348325729370117,29.02663803100586,30.871173858642578,23.6492919921875,73.11000061035156,274.8500061035156,60.099998474121094,34.7599983215332,69.9800033569336,27.6299991607666,31.770000457763672,32.720001220703125,34.70000076293945,33.95000076293945,37.529998779296875
2018-03-08,62.80061721801758,240.59451293945312,50.7928581237793,25.1278018951416,60.068695068359375,23.26023292541504,24.94886016845703,26.316118240356445,29.101924896240234,30.962095260620117,23.718608856201172,73.37999725341797,276.1300048828125,60.470001220703125,34.81999969482422,70.26000213623047,27.739999771118164,31.809999465942383,32.68000030517578,34.790000915527344,34.04999923706055,37.63999938964844
2018-03-09,63.613670349121094,244.6808624267578,50.91884994506836,25.308216094970703,61.641815185546875,23.495018005371094,25.08219337463379,26.404693603515625,29.344512939453125,31.37129020690918,24.065187454223633,74.33000183105469,280.82000732421875,60.619998931884766,35.06999969482422,72.0999984741211,28.020000457763672,31.979999542236328,32.790000915527344,35.08000183105469,34.5,38.189998626708984
2018-03-12,63.63935470581055,244.48049926757812,50.96925735473633,25.272127151489258,61.88974380493164,23.478242874145508,25.097883224487305,26.525482177734375,29.411434173583984,31.634990692138672,24.279436111450195,74.36000061035156,280.5899963378906,60.68000030517578,35.02000045776367,72.38999938964844,28.0,32.0,32.939998626708984,35.15999984741211,34.790000915527344,38.529998779296875
2018-03-13,63.21142578125,242.89476013183594,50.88525390625,25.062849044799805,60.855262756347656,23.285385131835938,24.941015243530273,26.09064483642578,29.17721176147461,31.589527130126953,24.266834259033203,73.86000061035156,278.7699890136719,60.58000183105469,34.72999954223633,71.18000030517578,27.770000457763672,31.799999237060547,32.400001525878906,34.880001068115234,34.7400016784668,38.5099983215332
2018-03-14,63.083045959472656,241.64871215820312,51.1036491394043,25.120586395263672,61.32548522949219,23.360855102539062,25.02729034423828,26.211423873901367,29.22740364074707,31.55314826965332,24.254230499267578,73.70999908447266,277.3399963378906,60.84000015258789,34.810001373291016,71.7300033569336,27.860000610351562,31.90999984741211,32.54999923706055,34.939998626708984,34.70000076293945,38.4900016784668
2018-03-15,63.05736541748047,241.3961181640625,51.204437255859375,25.098936080932617,62.01797866821289,23.235076904296875,25.0116024017334,26.291955947875977,29.21066665649414,31.225799560546875,24.31724739074707,73.68000030517578,277.04998779296875,60.959999084472656,34.779998779296875,72.54000091552734,27.709999084472656,31.889999389648438,32.650001525878906,34.91999816894531,34.34000015258789,38.59000015258789
2018-03-16,63.03168487548828,241.61392211914062,50.97765350341797,25.156667709350586,62.103477478027344,23.201536178588867,25.003765106201172,26.275854110717773,29.16884422302246,30.843883514404297,24.247928619384766,73.6500015258789,277.29998779296875,60.689998626708984,34.86000061035156,72.63999938964844,27.670000076293945,31.8799991607666,32.630001068115234,34.869998931884766,33.91999816894531,38.47999954223633
2018-03-19,62.36415100097656,238.37261962890625,50.112483978271484,24.990690231323242,61.18867111206055,23.058988571166992,24.8861141204834,26.08258819580078,29.01827621459961,30.343761444091797,24.09039306640625,72.87000274658203,273.5799865722656,59.65999984741211,34.630001068115234,71.56999969482422,27.5,31.729999542236328,32.38999938964844,34.689998626708984,33.369998931884766,38.22999954223633
