Date,MSCI ACWI Index
2018-02-26,528.397366
2018-02-27,523.832068
2018-02-28,518.079101
2018-03-01,511.904329
2018-03-02,511.33813
2018-03-05,514.622593
2018-03-06,517.964612
2018-03-07,517.331148
2018-03-08,519.647102
2018-03-09,525.444648
2018-03-12,527.294885
2018-03-13,525.305842
2018-03-14,522.867071
2018-03-15,522.487402
2018-03-16,522.474298
2018-03-19,516.890254
2018-03-20,517.332414
2018-03-21,516.945574
2018-03-22,508.479714
2018-03-23,499.363251
2018-03-26,506.899748
2018-03-27,504.133761
2018-03-28,501.27241
2018-03-29,505.440105
2018-03-30,505.807643
2018-04-02,499.649264
2018-04-03,501.891043
2018-04-04,503.815537
2018-04-05,508.552071
2018-04-06,502.315405
2018-04-09,504.180558
2018-04-10,511.041254
2018-04-11,509.432027
2018-04-12,511.291895
2018-04-13,510.522793
2018-04-16,512.490853
2018-04-17,516.118837
2018-04-18,518.316048
2018-04-19,517.051847
2018-04-20,512.735932
2018-04-23,511.670383
2018-04-24,508.081802
2018-04-25,506.321229
2018-04-26,509.910705
2018-04-27,511.314098
2018-04-30,509.693782
2018-05-01,509.001351
2018-05-02,506.899413
2018-05-03,505.039155
2018-05-04,508.833926
2018-05-07,510.607926
2018-05-08,510.386636
2018-05-09,513.617705
2018-05-10,517.232891
2018-05-11,519.462081
2018-05-14,520.583627
2018-05-15,516.139984
2018-05-16,517.03746
2018-05-17,517.011873
2018-05-18,515.655703
2018-05-21,517.722066
2018-05-22,517.597931
2018-05-23,515.862083
2018-05-24,514.856155
2018-05-25,513.448163
2018-05-28,512.681674
2018-05-29,506.987234
2018-05-30,509.960837
2018-05-31,508.769038
2018-06-01,512.767256
2018-06-04,516.377417
2018-06-05,515.718966
2018-06-06,519.746647
2018-06-07,519.897807
2018-06-08,519.154445
2018-06-11,520.758438
2018-06-12,521.071473
2018-06-13,519.696924
2018-06-14,519.539786
2018-06-15,517.205228
2018-06-18,514.992654
2018-06-19,510.780298
2018-06-20,512.580568
2018-06-21,509.336986
2018-06-22,511.681981
2018-06-25,504.488869
2018-06-26,504.910602
2018-06-27,501.466252
2018-06-28,501.87857
2018-06-29,505.198233
2018-07-02,503.096237
2018-07-03,503.000575
2018-07-04,502.93705
2018-07-05,505.839475
2018-07-06,509.89907
2018-07-09,514.483143
2018-07-10,515.518888
2018-07-11,510.920329
2018-07-12,514.121844
2018-07-13,515.216891
2018-07-16,514.534717
2018-07-17,515.716015
2018-07-18,516.473081
2018-07-19,514.447498
2018-07-20,515.888536
2018-07-23,515.915344
2018-07-24,518.998615
2018-07-25,521.743721
2018-07-26,521.800827
2018-07-27,520.730276
2018-07-30,518.929185
2018-07-31,519.817935
2018-08-01,518.987951
2018-08-02,517.540351
2018-08-03,519.534243
2018-08-06,519.822546
2018-08-07,522.33806
2018-08-08,522.184722
2018-08-09,521.601687
2018-08-10,515.610436
2018-08-13,511.920371
2018-08-14,513.993405
2018-08-15,508.316611
2018-08-16,511.496617
2018-08-17,513.079713
2018-08-20,515.191571
2018-08-21,517.174955
2018-08-22,518.417576
2018-08-23,516.839828
2018-08-24,519.595982
2018-08-27,524.555066
2018-08-28,525.182335
2018-08-29,526.93965
2018-08-30,524.280335
2018-08-31,522.881007
2018-09-03,521.948341
2018-09-04,519.302136
2018-09-05,516.134634
2018-09-06,514.078054
2018-09-07,512.965724
2018-09-10,513.392222
2018-09-11,514.028047
2018-09-12,515.168843
2018-09-13,518.023184
2018-09-14,519.460741
2018-09-17,517.497083
2018-09-18,520.187283
2018-09-19,521.983279
2018-09-20,526.13585
2018-09-21,527.863193
2018-09-24,525.865608
2018-09-25,526.088275
2018-09-26,525.280112
2018-09-27,525.443291
2018-09-28,524.252671
2018-10-01,525.060586
2018-10-02,523.361175
2018-10-03,523.459546
2018-10-04,518.209294
2018-10-05,514.686169
2018-10-08,512.717647
2018-10-09,511.544501
2018-10-10,500.545491
2018-10-11,489.404591
2018-10-12,494.759187
2018-10-15,492.51506
2018-10-16,500.940074
2018-10-17,500.524338
2018-10-18,494.471997
2018-10-19,494.04656
2018-10-22,492.778542
2018-10-23,487.369018
2018-10-24,477.290732
2018-10-25,480.830845
2018-10-26,475.10646
2018-10-29,473.521019
2018-10-30,478.190715
2018-10-31,484.570966
2018-11-01,489.476064
2018-11-02,489.974177
2018-11-05,490.583368
2018-11-06,492.703727
2018-11-07,500.232101
2018-11-08,499.565794
2018-11-09,494.482057
2018-11-12,486.568915
2018-11-13,486.099922
2018-11-14,483.788501
2018-11-15,486.873978
2018-11-16,488.341714
2018-11-19,483.724478
2018-11-20,475.873448
2018-11-21,477.679696
2018-11-22,477.582977
2018-11-23,475.296528
2018-11-26,480.854124
2018-11-27,481.238542
2018-11-28,488.216221
2018-11-29,489.660852
2018-11-30,490.857326
2018-12-03,497.480715
2018-12-04,486.729921
2018-12-05,484.279555
2018-12-06,479.203946
2018-12-07,473.880218
2018-12-10,470.196016
2018-12-11,470.697066
2018-12-12,476.010933
2018-12-13,476.067063
2018-12-14,468.511534
2018-12-17,462.266414
2018-12-18,460.680184
2018-12-19,457.647423
2018-12-20,450.833531
2018-12-21,444.757194
2018-12-24,437.67961
2018-12-25,435.899549
2018-12-26,447.709871
2018-12-27,450.322554
2018-12-28,452.693179
2018-12-31,455.662175
2019-01-01,455.682389
2019-01-02,454.516142
2019-01-03,448.205668
2019-01-04,459.940072
2019-01-07,463.987313
2019-01-08,467.269176
2019-01-09,471.565691
2019-01-10,473.234171
2019-01-11,473.258416
2019-01-14,470.868814
2019-01-15,474.856254
2019-01-16,475.711496
2019-01-17,477.630556
2019-01-18,483.496358
2019-01-21,483.523873
2019-01-22,478.409728
2019-01-23,478.741766
2019-01-24,479.840213
2019-01-25,484.533142
2019-01-28,481.590764
2019-01-29,481.773472
2019-01-30,486.712006
2019-01-31,491.194144
2019-02-01,491.434109
2019-02-04,493.064756
2019-02-05,496.179696
2019-02-06,495.082822
2019-02-07,490.417729
2019-02-08,488.720497
2019-02-11,488.912262
2019-02-12,494.303919
2019-02-13,495.91755
2019-02-14,494.661096
2019-02-15,498.238814
2019-02-18,499.865954
2019-02-19,500.58055
2019-02-20,502.918444
2019-02-21,501.689985
2019-02-22,504.150046
2019-02-25,505.69007
2019-02-26,505.510361
2019-02-27,505.395256
2019-02-28,503.480569
2019-03-01,505.75202
2019-03-04,504.600913
2019-03-05,504.068499
2019-03-06,502.223328
2019-03-07,497.860496
2019-03-08,494.911793
2019-03-11,500.545184
2019-03-12,502.988608
2019-03-13,505.544719
2019-03-14,505.557148
2019-03-15,508.722658
2019-03-18,511.358741
2019-03-19,511.974682
2019-03-20,510.048513
2019-03-21,513.499712
2019-03-22,505.879553
2019-03-25,503.555804
2019-03-26,507.024625
2019-03-27,504.834583
2019-03-28,505.143864
2019-03-29,508.54849
2019-04-01,514.345121
2019-04-02,514.387023
2019-04-03,517.284178
2019-04-04,517.278561
2019-04-05,519.039179
2019-04-08,519.877363
2019-04-09,518.090645
2019-04-10,519.258245
2019-04-11,518.695496
2019-04-12,521.29433
2019-04-15,521.505809
2019-04-16,522.332504
2019-04-17,522.035985
2019-04-18,521.660941
2019-04-19,521.694074
2019-04-22,521.756506
2019-04-23,524.526478
2019-04-24,523.04144
2019-04-25,521.867221
2019-04-26,523.74322
2019-04-29,524.394465
2019-04-30,524.843809
2019-05-01,523.074287
2019-05-02,521.089034
2019-05-03,524.85047
2019-05-06,521.347516
2019-05-07,514.397011
2019-05-08,513.285658
2019-05-09,509.331949
2019-05-10,511.109418
2019-05-13,501.664703
2019-05-14,504.170394
2019-05-15,506.732304
2019-05-16,509.794864
2019-05-17,506.927165
2019-05-20,504.270939
2019-05-21,507.319035
2019-05-22,506.012773
2019-05-23,500.087949
2019-05-24,501.803316
2019-05-27,502.243553
2019-05-28,499.662982
2019-05-29,495.313083
2019-05-30,496.224888
2019-05-31,492.115297
2019-06-03,492.470063
2019-06-04,499.208383
2019-06-05,503.016306
2019-06-06,504.673363
2019-06-07,509.755909
2019-06-10,512.440998
2019-06-11,513.913564
2019-06-12,512.456457
2019-06-13,512.752552
2019-06-14,511.068974
2019-06-17,510.809419
2019-06-18,515.816255
2019-06-19,518.921021
2019-06-20,524.441273
2019-06-21,523.306499
2019-06-24,523.298596
2019-06-25,519.784708
2019-06-26,518.809841
2019-06-27,520.927522
2019-06-28,523.442032
2019-07-01,526.92655
2019-07-02,528.237857
2019-07-03,531.139562
2019-07-04,531.8182
2019-07-05,529.508174
2019-07-08,526.386009
2019-07-09,525.959454
2019-07-10,527.926692
2019-07-11,529.181644
2019-07-12,530.479753
2019-07-15,531.239978
2019-07-16,530.069342
2019-07-17,527.596437
2019-07-18,527.508467
2019-07-19,527.044078
2019-07-22,527.476942
2019-07-23,530.100029
2019-07-24,531.821851
2019-07-25,529.464943
2019-07-26,530.997589
2019-07-29,530.146255
2019-07-30,528.066244
2019-07-31,524.350295
2019-08-01,520.57194
2019-08-02,514.439838
2019-08-05,501.474667
2019-08-06,503.97358
2019-08-07,505.000759
2019-08-08,512.645311
2019-08-09,510.01301
2019-08-12,505.86932
2019-08-13,509.119439
2019-08-14,498.629315
2019-08-15,497.85094
2019-08-16,503.684857
2019-08-19,509.061264
2019-08-20,506.607961
2019-08-21,510.165583
